Testcase 1
0.501165        0.501563        误差：-0.0597106%
0.511234        0.511632        误差：-0.0584037%
0.521254        0.52165 误差：-0.0571063%
0.531224        0.531619        误差：-0.0558184%
0.541144        0.541538        误差：-0.0545398%
0.551017        0.551408        误差：-0.0532706%
0.560841        0.56123 误差：-0.0520107%
0.570617        0.571003        误差：-0.0507601%
0.580346        0.58073 误差：-0.0495187%
0.590028        0.590409        误差：-0.0482864%
0.599664        0.600041        误差：-0.0470634%
0.609255        0.609628        误差：-0.0458494%
0.6188  0.619169        误差：-0.0446445%
0.6283  0.628664        误差：-0.0434487%
0.637755        0.638115        误差：-0.0422618%
0.647167        0.647522        误差：-0.0410839%
0.656535        0.656885        误差：-0.039915%
0.66586 0.666204        误差：-0.0387548%
0.675142        0.675481        误差：-0.0376036%
0.684382        0.684714        误差：-0.0364611%
0.69358 0.693906        误差：-0.0353274%
0.702736        0.703056        误差：-0.0342023%
0.711851        0.712165        误差：-0.033086%
0.720926        0.721233        误差：-0.0319783%
0.72996 0.73026 误差：-0.0308792%
0.738955        0.739248        误差：-0.0297886%
0.74791 0.748195        误差：-0.0287065%
0.756826        0.757104        误差：-0.0276329%
0.765703        0.765973        误差：-0.0265678%
0.774542        0.774804        误差：-0.025511%
0.783343        0.783597        误差：-0.0244626%
0.792106        0.792352        误差：-0.0234225%
0.800833        0.80107 误差：-0.0223906%
0.809522        0.80975 误差：-0.021367%
0.818175        0.818395        误差：-0.0203515%
0.826792        0.827002        误差：-0.0193443%
0.835373        0.835574        误差：-0.0183451%
0.843918        0.844111        误差：-0.0173539%
0.852429        0.852612        误差：-0.0163708%
0.860905        0.861078        误差：-0.0153957%
0.869346        0.86951 误差：-0.0144285%
0.877753        0.877908        误差：-0.0134692%
0.886127        0.886272        误差：-0.0125178%
0.894467        0.894603        误差：-0.0115742%
0.902775        0.9029  误差：-0.0106383%
0.911049        0.911164        误差：-0.00971023%
0.919292        0.919396        误差：-0.00878983%
0.927502        0.927596        误差：-0.00787707%
0.93568 0.935764        误差：-0.00697193%
0.943827        0.943901        误差：-0.00607437%
0.951943        0.952006        误差：-0.00518433%
0.960028        0.960081        误差：-0.00430179%
0.968082        0.968125        误差：-0.00342669%
0.976106        0.976138        误差：-0.00255901%
0.9841  0.984122        误差：-0.00169869%
0.992065        0.992076        误差：-0.000845701%
Testcase 2
Gaussian Elimination Time:1504microsec
Gauss-Seidel Time:143192microsec
0.0504578       0.0525835       误差：-4.04235%
0.0967832       0.100639        误差：-3.83111%
0.139352        0.144597        误差：-3.62743%
0.178505        0.184847        误差：-3.43131%
0.214553        0.221744        误差：-3.24271%
0.247779        0.255604        误差：-3.0616%
0.278439        0.286719        误差：-2.88791%
0.306766        0.315348        误差：-2.72155%
0.332972        0.341729        误差：-2.56243%
0.357251        0.366075        误差：-2.41043%
0.379777        0.38858 误差：-2.26543%
0.400709        0.409419        误差：-2.12727%
0.420194        0.428751        误差：-1.99581%
0.438361        0.446719        误差：-1.87087%
0.455332        0.463453        误差：-1.75228%
0.471214        0.47907 误差：-1.63985%
0.486107        0.493677        误差：-1.5334%
0.5001  0.50737 误差：-1.43271%
0.513276        0.520235        误差：-1.3376%
0.525709        0.532352        误差：-1.24784%
0.537466        0.543792        误差：-1.16324%
0.548609        0.554619        误差：-1.08359%
0.559193        0.564891        误差：-1.00866%
0.56927 0.574662        误差：-0.938267%
0.578885        0.583978        误差：-0.87219%
0.588081        0.592884        误差：-0.810228%
0.596895        0.601418        误差：-0.752179%
0.605362        0.609616        误差：-0.697848%
0.613514        0.61751 误差：-0.647042%
0.62138 0.625128        误差：-0.599574%
0.628985        0.632497        误差：-0.555263%
0.636353        0.639641        误差：-0.513933%
0.643506        0.64658 误差：-0.475415%
0.650464        0.653335        误差：-0.439545%
0.657243        0.659923        误差：-0.406165%
0.663861        0.66636 误差：-0.375127%
0.670331        0.67266 误差：-0.346287%
0.676668        0.678837        误差：-0.319506%
0.682883        0.684901        误差：-0.294655%
0.688988        0.690864        误差：-0.271608%
0.694992        0.696736        误差：-0.25025%
0.700905        0.702525        误差：-0.230467%
0.706736        0.708238        误差：-0.212154%
0.71249 0.713884        误差：-0.195211%
0.718176        0.719468        误差：-0.179545%
0.7238  0.724997        误差：-0.165067%
0.729367        0.730475        误差：-0.151693%
0.734882        0.735908        误差：-0.139345%
0.740351        0.741299        误差：-0.127951%
0.745777        0.746654        误差：-0.117441%
0.751164        0.751974        误差：-0.10775%
0.756516        0.757264        误差：-0.0988197%
0.761836        0.762527        误差：-0.0905928%
0.767127        0.767764        误差：-0.0830172%
0.772391        0.772979        误差：-0.076044%
0.777632        0.778174        误差：-0.0696277%
0.78285 0.78335 误差：-0.063726%
0.788049        0.788509        误差：-0.0582996%
0.79323 0.793653        误差：-0.0533118%
0.798394        0.798783        误差：-0.0487288%
0.803543        0.803901        误差：-0.0445191%
0.808679        0.809008        误差：-0.0406534%
0.813802        0.814105        误差：-0.0371047%
0.818915        0.819192        误差：-0.0338481%
0.824017        0.824271        误差：-0.0308603%
0.829109        0.829342        误差：-0.0281199%
0.834194        0.834407        误差：-0.0256071%
0.83927 0.839466        误差：-0.0233037%
0.84434 0.844519        误差：-0.0211927%
0.849403        0.849567        误差：-0.0192585%
0.854461        0.85461 误差：-0.0174869%
0.859513        0.859649        误差：-0.0158644%
0.864561        0.864685        误差：-0.014379%
0.869604        0.869717        误差：-0.0130194%
0.874643        0.874746        误差：-0.0117752%
0.879679        0.879772        误差：-0.0106369%
0.884711        0.884796        误差：-0.00959576%
0.889741        0.889818        误差：-0.00864363%
0.894768        0.894837        误差：-0.00777315%
0.899792        0.899855        误差：-0.00697748%
0.904814        0.904871        误差：-0.00625037%
0.909835        0.909885        误差：-0.00558607%
0.914853        0.914898        误差：-0.00497928%
0.91987 0.91991 误差：-0.00442517%
0.924885        0.924921        误差：-0.00391928%
0.929898        0.929931        误差：-0.00345752%
0.934911        0.934939        误差：-0.00303615%
0.939922        0.939947        误差：-0.00265174%
0.944933        0.944955        误差：-0.00230114%
0.949942        0.949961        误差：-0.00198145%
0.954951        0.954967        误差：-0.00169004%
0.959959        0.959972        误差：-0.00142449%
0.964966        0.964977        误差：-0.00118256%
0.969972        0.969981        误差：-0.000962241%
0.974978        0.974985        误差：-0.000761656%
0.979983        0.979989        误差：-0.000579107%
0.984988        0.984992        误差：-0.000413034%
0.989992        0.989995        误差：-0.00026201%
0.994996        0.994998        误差：-0.00012473%
--------------------------------
0.0504537       0.0525835       误差：-4.04235%
0.0967753       0.100639        误差：-3.83111%
0.13934 0.144597        误差：-3.62743%
0.17849 0.184847        误差：-3.43131%
0.214536        0.221744        误差：-3.24271%
0.24776 0.255604        误差：-3.0616%
0.278417        0.286719        误差：-2.88791%
0.306742        0.315348        误差：-2.72155%
0.332947        0.341729        误差：-2.56243%
0.357224        0.366075        误差：-2.41043%
0.379749        0.38858 误差：-2.26543%
0.400681        0.409419        误差：-2.12727%
0.420165        0.428751        误差：-1.99581%
0.438331        0.446719        误差：-1.87087%
0.455302        0.463453        误差：-1.75228%
0.471183        0.47907 误差：-1.63985%
0.486076        0.493677        误差：-1.5334%
0.50007 0.50737 误差：-1.43271%
0.513246        0.520235        误差：-1.3376%
0.525679        0.532352        误差：-1.24784%
0.537436        0.543792        误差：-1.16324%
0.548579        0.554619        误差：-1.08359%
0.559164        0.564891        误差：-1.00866%
0.569241        0.574662        误差：-0.938267%
0.578856        0.583978        误差：-0.87219%
0.588052        0.592884        误差：-0.810228%
0.596867        0.601418        误差：-0.752179%
0.605335        0.609616        误差：-0.697848%
0.613488        0.61751 误差：-0.647042%
0.621354        0.625128        误差：-0.599574%
0.62896 0.632497        误差：-0.555263%
0.636329        0.639641        误差：-0.513933%
0.643483        0.64658 误差：-0.475415%
0.650441        0.653335        误差：-0.439545%
0.657221        0.659923        误差：-0.406165%
0.663839        0.66636 误差：-0.375127%
0.67031 0.67266 误差：-0.346287%
0.676648        0.678837        误差：-0.319506%
0.682864        0.684901        误差：-0.294655%
0.68897 0.690864        误差：-0.271608%
0.694975        0.696736        误差：-0.25025%
0.700889        0.702525        误差：-0.230467%
0.706719        0.708238        误差：-0.212154%
0.712475        0.713884        误差：-0.195211%
0.718161        0.719468        误差：-0.179545%
0.723786        0.724997        误差：-0.165067%
0.729353        0.730475        误差：-0.151693%
0.734869        0.735908        误差：-0.139345%
0.740338        0.741299        误差：-0.127951%
0.745765        0.746654        误差：-0.117441%
0.751153        0.751974        误差：-0.10775%
0.756505        0.757264        误差：-0.0988197%
0.761826        0.762527        误差：-0.0905928%
0.767117        0.767764        误差：-0.0830172%
0.772382        0.772979        误差：-0.076044%
0.777623        0.778174        误差：-0.0696277%
0.782842        0.78335 误差：-0.063726%
0.788041        0.788509        误差：-0.0582996%
0.793223        0.793653        误差：-0.0533118%
0.798387        0.798783        误差：-0.0487288%
0.803537        0.803901        误差：-0.0445191%
0.808673        0.809008        误差：-0.0406534%
0.813797        0.814105        误差：-0.0371047%
0.818909        0.819192        误差：-0.0338481%
0.824012        0.824271        误差：-0.0308603%
0.829105        0.829342        误差：-0.0281199%
0.834189        0.834407        误差：-0.0256071%
0.839266        0.839466        误差：-0.0233037%
0.844336        0.844519        误差：-0.0211927%
0.8494  0.849567        误差：-0.0192585%
0.854457        0.85461 误差：-0.0174869%
0.85951 0.859649        误差：-0.0158644%
0.864558        0.864685        误差：-0.014379%
0.869601        0.869717        误差：-0.0130194%
0.874641        0.874746        误差：-0.0117752%
0.879677        0.879772        误差：-0.0106369%
0.884709        0.884796        误差：-0.00959576%
0.889739        0.889818        误差：-0.00864363%
0.894766        0.894837        误差：-0.00777315%
0.899791        0.899855        误差：-0.00697748%
0.904813        0.904871        误差：-0.00625037%
0.909833        0.909885        误差：-0.00558607%
0.914852        0.914898        误差：-0.00497928%
0.919868        0.91991 误差：-0.00442517%
0.924884        0.924921        误差：-0.00391928%
0.929898        0.929931        误差：-0.00345752%
0.93491 0.934939        误差：-0.00303615%
0.939922        0.939947        误差：-0.00265174%
0.944932        0.944955        误差：-0.00230114%
0.949942        0.949961        误差：-0.00198145%
0.95495 0.954967        误差：-0.00169004%
0.959958        0.959972        误差：-0.00142449%
0.964965        0.964977        误差：-0.00118256%
0.969972        0.969981        误差：-0.000962241%
0.974978        0.974985        误差：-0.000761656%
0.979983        0.979989        误差：-0.000579107%
0.984988        0.984992        误差：-0.000413034%
0.989992        0.989995        误差：-0.00026201%
0.994996        0.994998        误差：-0.00012473%
Testcase 3
Gaussian Elimination Time:1531microsec
Gauss-Seidel Time:5243microsec
0.459545        0.504977        误差：-8.99681%
0.505868        0.51    误差：-0.810241%
0.514624        0.515   误差：-0.0729432%
0.519966        0.52    误差：-0.00656744%
0.524997        0.525   误差：-0.000591354%
0.53    0.53    误差：-5.32523e-05%
0.535   0.535   误差：-4.79587e-06%
0.54    0.54    误差：-4.31953e-07%
0.545   0.545   误差：-3.89098e-08%
0.55    0.55    误差：-3.50669e-09%
0.555   0.555   误差：-3.17484e-10%
0.56    0.56    误差：-3.01545e-11%
0.565   0.565   误差：-4.22474e-12%
0.57    0.57    误差：-1.88933e-12%
0.575   0.575   误差：-1.6412e-12%
0.58    0.58    误差：-1.60791e-12%
0.585   0.585   误差：-1.57519e-12%
0.59    0.59    误差：-1.54302e-12%
0.595   0.595   误差：-1.5114e-12%
0.6     0.6     误差：-1.4803e-12%
0.605   0.605   误差：-1.44971e-12%
0.61    0.61    误差：-1.41963e-12%
0.615   0.615   误差：-1.39004e-12%
0.62    0.62    误差：-1.36092e-12%
0.625   0.625   误差：-1.33227e-12%
0.63    0.63    误差：-1.30407e-12%
0.635   0.635   误差：-1.27632e-12%
0.64    0.64    误差：-1.249e-12%
0.645   0.645   误差：-1.20489e-12%
0.65    0.65    误差：-1.17854e-12%
0.655   0.655   误差：-1.1526e-12%
0.66    0.66    误差：-1.12704e-12%
0.665   0.665   误差：-1.10188e-12%
0.67    0.67    误差：-1.07708e-12%
0.675   0.675   误差：-1.05266e-12%
0.68    0.68    误差：-1.01226e-12%
0.685   0.685   误差：-1.00487e-12%
0.69    0.69    误差：-9.65411e-13%
0.695   0.695   误差：-9.58466e-13%
0.7     0.7     误差：-9.19899e-13%
0.705   0.705   误差：-8.97627e-13%
0.71    0.71    误差：-8.75669e-13%
0.715   0.715   误差：-8.3849e-13%
0.72    0.72    误差：-8.17248e-13%
0.725   0.725   误差：-7.96298e-13%
0.73    0.73    误差：-7.90844e-13%
0.735   0.735   误差：-7.85464e-13%
0.74    0.74    误差：-7.65154e-13%
0.745   0.745   误差：-7.45116e-13%
0.75    0.75    误差：-7.25346e-13%
0.755   0.755   误差：-7.05837e-13%
0.76    0.76    误差：-6.86585e-13%
0.765   0.765   误差：-6.67585e-13%
0.77    0.77    误差：-6.48832e-13%
0.775   0.775   误差：-6.3032e-13%
0.78    0.78    误差：-6.12046e-13%
0.785   0.785   误差：-5.79862e-13%
0.79    0.79    误差：-5.76192e-13%
0.795   0.795   误差：-5.44638e-13%
0.8     0.8     误差：-5.41234e-13%
0.805   0.805   误差：-5.2408e-13%
0.81    0.81    误差：-5.34552e-13%
0.815   0.815   误差：-5.04028e-13%
0.82    0.82    误差：-5.00954e-13%
0.825   0.825   误差：-4.71004e-13%
0.83    0.83    误差：-4.68166e-13%
0.835   0.835   误差：-4.38771e-13%
0.84    0.84    误差：-4.36159e-13%
0.845   0.845   误差：-4.07301e-13%
0.85    0.85    误差：-3.91843e-13%
0.855   0.855   误差：-3.76567e-13%
0.86    0.86    误差：-3.61468e-13%
0.865   0.865   误差：-3.46544e-13%
0.87    0.87    误差：-3.31791e-13%
0.875   0.875   误差：-3.17207e-13%
0.88    0.88    误差：-3.02788e-13%
0.885   0.885   误差：-2.88533e-13%
0.89    0.89    误差：-2.74437e-13%
0.895   0.895   误差：-2.60499e-13%
0.9     0.9     误差：-2.46716e-13%
0.905   0.905   误差：-2.33085e-13%
0.91    0.91    误差：-2.07404e-13%
0.915   0.915   误差：-2.06271e-13%
0.92    0.92    误差：-1.81015e-13%
0.925   0.925   误差：-1.80036e-13%
0.93    0.93    误差：-1.55192e-13%
0.935   0.935   误差：-1.54363e-13%
0.94    0.94    误差：-1.41731e-13%
0.945   0.945   误差：-1.40981e-13%
0.95    0.95    误差：-1.16866e-13%
0.955   0.955   误差：-1.16254e-13%
0.96    0.96    误差：-9.25186e-14%
0.965   0.965   误差：-9.20392e-14%
0.97    0.97    误差：-6.86736e-14%
0.975   0.975   误差：-5.69345e-14%
0.98    0.98    误差：-4.53152e-14%
0.985   0.985   误差：-3.38139e-14%
0.99    0.99    误差：-2.24287e-14%
0.995   0.995   误差：-1.1158e-14%
--------------------------------
0.459545        0.504977        误差：-8.99681%
0.505868        0.51    误差：-0.810241%
0.514624        0.515   误差：-0.0729432%
0.519966        0.52    误差：-0.00656744%
0.524997        0.525   误差：-0.000591354%
0.53    0.53    误差：-5.32523e-05%
0.535   0.535   误差：-4.79587e-06%
0.54    0.54    误差：-4.31953e-07%
0.545   0.545   误差：-3.89098e-08%
0.55    0.55    误差：-3.50669e-09%
0.555   0.555   误差：-3.17484e-10%
0.56    0.56    误差：-3.01545e-11%
0.565   0.565   误差：-4.22474e-12%
0.57    0.57    误差：-1.88933e-12%
0.575   0.575   误差：-1.6412e-12%
0.58    0.58    误差：-1.60791e-12%
0.585   0.585   误差：-1.57519e-12%
0.59    0.59    误差：-1.54302e-12%
0.595   0.595   误差：-1.5114e-12%
0.6     0.6     误差：-1.4803e-12%
0.605   0.605   误差：-1.44971e-12%
0.61    0.61    误差：-1.41963e-12%
0.615   0.615   误差：-1.39004e-12%
0.62    0.62    误差：-1.36092e-12%
0.625   0.625   误差：-1.33227e-12%
0.63    0.63    误差：-1.30407e-12%
0.635   0.635   误差：-1.27632e-12%
0.64    0.64    误差：-1.249e-12%
0.645   0.645   误差：-1.20489e-12%
0.65    0.65    误差：-1.17854e-12%
0.655   0.655   误差：-1.1526e-12%
0.66    0.66    误差：-1.12704e-12%
0.665   0.665   误差：-1.10188e-12%
0.67    0.67    误差：-1.07708e-12%
0.675   0.675   误差：-1.05266e-12%
0.68    0.68    误差：-1.01226e-12%
0.685   0.685   误差：-1.00487e-12%
0.69    0.69    误差：-9.65411e-13%
0.695   0.695   误差：-9.58466e-13%
0.7     0.7     误差：-9.19899e-13%
0.705   0.705   误差：-8.97627e-13%
0.71    0.71    误差：-8.75669e-13%
0.715   0.715   误差：-8.3849e-13%
0.72    0.72    误差：-8.17248e-13%
0.725   0.725   误差：-7.96298e-13%
0.73    0.73    误差：-7.90844e-13%
0.735   0.735   误差：-7.85464e-13%
0.74    0.74    误差：-7.65154e-13%
0.745   0.745   误差：-7.45116e-13%
0.75    0.75    误差：-7.25346e-13%
0.755   0.755   误差：-7.05837e-13%
0.76    0.76    误差：-6.86585e-13%
0.765   0.765   误差：-6.67585e-13%
0.77    0.77    误差：-6.48832e-13%
0.775   0.775   误差：-6.3032e-13%
0.78    0.78    误差：-6.12046e-13%
0.785   0.785   误差：-5.79862e-13%
0.79    0.79    误差：-5.76192e-13%
0.795   0.795   误差：-5.44638e-13%
0.8     0.8     误差：-5.41234e-13%
0.805   0.805   误差：-5.2408e-13%
0.81    0.81    误差：-5.34552e-13%
0.815   0.815   误差：-5.04028e-13%
0.82    0.82    误差：-5.00954e-13%
0.825   0.825   误差：-4.71004e-13%
0.83    0.83    误差：-4.68166e-13%
0.835   0.835   误差：-4.38771e-13%
0.84    0.84    误差：-4.36159e-13%
0.845   0.845   误差：-4.07301e-13%
0.85    0.85    误差：-3.91843e-13%
0.855   0.855   误差：-3.76567e-13%
0.86    0.86    误差：-3.61468e-13%
0.865   0.865   误差：-3.46544e-13%
0.87    0.87    误差：-3.31791e-13%
0.875   0.875   误差：-3.17207e-13%
0.88    0.88    误差：-3.02788e-13%
0.885   0.885   误差：-2.88533e-13%
0.89    0.89    误差：-2.74437e-13%
0.895   0.895   误差：-2.60499e-13%
0.9     0.9     误差：-2.46716e-13%
0.905   0.905   误差：-2.33085e-13%
0.91    0.91    误差：-2.07404e-13%
0.915   0.915   误差：-2.06271e-13%
0.92    0.92    误差：-1.81015e-13%
0.925   0.925   误差：-1.80036e-13%
0.93    0.93    误差：-1.55192e-13%
0.935   0.935   误差：-1.54363e-13%
0.94    0.94    误差：-1.41731e-13%
0.945   0.945   误差：-1.40981e-13%
0.95    0.95    误差：-1.16866e-13%
0.955   0.955   误差：-1.16254e-13%
0.96    0.96    误差：-9.25186e-14%
0.965   0.965   误差：-9.20392e-14%
0.97    0.97    误差：-6.86736e-14%
0.975   0.975   误差：-5.69345e-14%
0.98    0.98    误差：-4.53152e-14%
0.985   0.985   误差：-3.38139e-14%
0.99    0.99    误差：-2.24287e-14%
0.995   0.995   误差：-1.1158e-14%
Testcase 4
Gaussian Elimination Time:1580microsec
Gauss-Seidel Time:4297microsec
0.50005 0.505   误差：-0.980296%
0.509951        0.51    误差：-0.00961075%
0.515   0.515   误差：-9.42321e-05%
0.52    0.52    误差：-9.24022e-07%
0.525   0.525   误差：-9.06433e-09%
0.53    0.53    误差：-9.15829e-11%
0.535   0.535   误差：-3.54856e-12%
0.54    0.54    误差：-2.6522e-12%
0.545   0.545   误差：-2.6075e-12%
0.55    0.55    误差：-2.56361e-12%
0.555   0.555   误差：-2.52051e-12%
0.56    0.56    误差：-2.47818e-12%
0.565   0.565   误差：-2.41695e-12%
0.57    0.57    误差：-2.39574e-12%
0.575   0.575   误差：-2.3363e-12%
0.58    0.58    误差：-2.29701e-12%
0.585   0.585   误差：-2.2584e-12%
0.59    0.59    误差：-2.22045e-12%
0.595   0.595   误差：-2.18313e-12%
0.6     0.6     误差：-2.14643e-12%
0.605   0.605   误差：-2.11034e-12%
0.61    0.61    误差：-2.07484e-12%
0.615   0.615   误差：-2.03992e-12%
0.62    0.62    误差：-2.00556e-12%
0.625   0.625   误差：-1.97176e-12%
0.63    0.63    误差：-1.93848e-12%
0.635   0.635   误差：-1.90574e-12%
0.64    0.64    误差：-1.8735e-12%
0.645   0.645   误差：-1.84177e-12%
0.65    0.65    误差：-1.81052e-12%
0.655   0.655   误差：-1.77975e-12%
0.66    0.66    误差：-1.74944e-12%
0.665   0.665   误差：-1.71959e-12%
0.67    0.67    误差：-1.69019e-12%
0.675   0.675   误差：-1.66122e-12%
0.68    0.68    误差：-1.61635e-12%
0.685   0.685   误差：-1.58835e-12%
0.69    0.69    误差：-1.54466e-12%
0.695   0.695   误差：-1.53355e-12%
0.7     0.7     误差：-1.49087e-12%
0.705   0.705   误差：-1.46455e-12%
0.71    0.71    误差：-1.4386e-12%
0.715   0.715   误差：-1.39748e-12%
0.72    0.72    误差：-1.37236e-12%
0.725   0.725   误差：-1.34758e-12%
0.73    0.73    误差：-1.32314e-12%
0.735   0.735   误差：-1.29904e-12%
0.74    0.74    误差：-1.27526e-12%
0.745   0.745   误差：-1.2518e-12%
0.75    0.75    误差：-1.21384e-12%
0.755   0.755   误差：-1.1911e-12%
0.76    0.76    误差：-1.16866e-12%
0.765   0.765   误差：-1.1465e-12%
0.77    0.77    误差：-1.12464e-12%
0.775   0.775   误差：-1.10306e-12%
0.78    0.78    误差：-1.08176e-12%
0.785   0.785   误差：-1.03244e-12%
0.79    0.79    误差：-1.01185e-12%
0.795   0.795   误差：-9.77555e-13%
0.8     0.8     误差：-9.57567e-13%
0.805   0.805   误差：-9.10245e-13%
0.81    0.81    误差：-9.04626e-13%
0.815   0.815   误差：-8.58209e-13%
0.82    0.82    误差：-8.39437e-13%
0.825   0.825   误差：-8.07435e-13%
0.83    0.83    误差：-7.89195e-13%
0.835   0.835   误差：-7.44581e-13%
0.84    0.84    误差：-7.40149e-13%
0.845   0.845   误差：-6.96353e-13%
